Days,Days,du,airport,gabtoli,gulshan,jatrabari,mdpur,mirpur10,motijhil,old dhaka,tejgoan,,,,,,,,,,,,,,,
Sat,1,331.71875,174.8229167,304.4105263,309.2736842,400.0842105,403.03125,317.2083333,404.1979167,513.0833333,459.8020833,,,,,,,,,,,,,,,
Sun,2,325.0729167,175.3020833,306.8105263,306.0947368,398.0421053,397.9791667,325.9166667,399.7083333,509.9166667,452.7291667,,,,,,,,,,,,,,,
Mon,3,311.6458333,176.3645833,308.1894737,310.9368421,404.1578947,402.25,333.4583333,402.6041667,509.1875,452.8333333,,,,,,,,,,,,,,,
Tue,4,336.28125,177.5,306.4842105,307.4736842,404.1578947,403.6666667,328,402.0729167,514.7395833,456.2708333,,,,,,,,,,,,,,,
Wed,5,323.28125,165.1770833,307.0947368,310.3894737,410.6526316,400.21875,330.96875,396.4166667,515.2708333,456,,,,,,,,,,,,,,,
Thu,6,295.65625,175.78125,294.2631579,292.2210526,388.9263158,367.1145833,331.71875,367.2083333,461.4479167,399.5729167,,,,,,,,,,,,,,,
Fri,7,326.09375,175.5,300.8210526,299.4315789,401.1157895,389.4375,330.9375,386.2604167,492.40625,429.3541667,,,,,Day,du,airport,gabtoli,gulshan,jatrabari,mdpur,mirpur10,motijhil,old dhaka,tejgoan
Sat,8,333.6041667,174.3020833,303.9473684,309.0631579,399.8526316,403.3229167,317.8541667,404.1979167,513.0833333,459.6354167,,,,,Sat,342.7481642,176.8142689,302.815293,302.7142006,399.4242304,397.9410377,319.7588444,405.1282367,498.3168457,426.2866528
Sun,9,326.7604167,175.84375,306.2947368,306.1263158,397.0421053,400.59375,325.9166667,401.6354167,509.9166667,452.7291667,,,,,Sun,336.6740785,179.2385817,302.3759109,303.4852227,397.4617409,393.1644631,326.7864583,404.8573718,496.4961939,420.2355769
Mon,10,313.0520833,175.78125,308.2631579,309.2210526,404.6631579,402.25,333.4583333,400.78125,509.15625,452.8333333,,,,,Mon,326.0394631,178.7622195,304.4653846,303.7661943,398.2068826,398.650641,330.6630609,400.9346955,494.2714343,420.9316907
Tue,11,336.2916667,177.5,305.9578947,307.7894737,402.7684211,403.7708333,329.15625,403.8958333,514.7395833,456.2708333,,,,,Tue,348.3585737,178.2315705,307.2103239,307.1228745,400.7712551,398.1764824,330.3926282,404.9597356,496.8405449,422.7682292
Wed,12,323.28125,165.1770833,306.6736842,308.8315789,409.4,400.21875,332.0208333,396.4166667,515.2708333,456,,,,,Wed,333.3764022,165.8846154,306.5338057,308.7518219,402.3273279,397.4304888,330.3108974,401.2063301,499.3313301,420.9909856
